ID;PRODUCTNAME;CODE
360;Pelech proutěný;5291
361;Pelech proutěný;5292
362;Pelech proutěný;5293
363;Pelech proutěný;5294
364;Pelech proutěný;5295
365;Pelech proutěný;5296
366;Pelech proutěný;5297
367;Pelech proutěný;5298
368;Pelech vrbový stříška;70065
369;Pelech vrbový vlnka;70060
370;Pelech vrbový vlnka;70059
371;Pelech vrbový výřez;70056
372;Pelech vrbový výřez;70055
373;Pelech vrbový výřez;70054
374;Pelech vrbový výřez;70053
375;Pelech vrbový výřez;70052
376;Pelikán;42119
377;Pelikán L;42173
378;Pes střední;42127
379;Pes velký;42126
380;Pivní set AXIN barva hnědá;17
381;Pivní set AXIN barva hnědá 5+1 ZDARMA;17 5+1
382;Pivní set AXIN barva mahagon;16
383;Pivní set AXIN barva mahagon 5+1 ZDARMA;16 5+1
384;Pivní set AXIN barva teak;15
385;Pivní set AXIN barva teak 5+1 ZDARMA;15 5+1
386;Pivní set AXIN s opěrkamibarva teak ;18
387;Podnos hranatý s ušima malý;445008
388;Podnos hranatý s ušima střední;445009
389;Podnos oblouk malý;445013
390;Podnos oblouk stření;445012
391;Podnos oblouk velký;445011
392;Podnos oválný s uchem menší;445017
393;Podnos oválný zvýšený střední;445015
394;Pohovka Barbara ratan kubu;1499
395;Pohovka Corner banánový list;544
396;Pohovka Oliver + stolek;1265+1189
397;Pohovka Oliver brown wash;1265
398;Pohovka Princes banánový list;560
399;Pohovka Spada XL banánový list;545 1
400;Polstr na houpací křeslo bílý;30287
401;Polstr na houpací křeslo hnědý list;30288
402;Polstr na houpací křeslo modrý;30284
403;Polstr na houpací křeslo okrový;30281
404;Polstr na houpací křeslo vínový;30285
405;Polstr na houpací křeslo vínový motiv;30234
406;Polstr na křeslo bahama bílý;30164
407;Polstr na křeslo Bahama bílý Maxi;30228
408;Polstr na křeslo Bahama hnědý list;30140
409;Polstr na křeslo bahama levandule;30411
410;Polstr na křeslo Bahama modrý CZ;30040
411;Polstr na křeslo Bahama modrý maxi CZ;30045
412;Polstr na křeslo Bahama okrový CZ;30034
413;Polstr na křeslo Bahama okrový maxi CZ;30042
414;Polstr na křeslo Bahama vínový;30020
415;Polstr na křeslo Bahama vínový kepr maxi CZ;30026
416;Polstr na křeslo Bahama vínový kepr maxi CZ - kopie;30415
417;Polstr na křeslo Bahama vínový motiv;30182
418;Polstr na křeslo Bahama zelená kostka;30184
419;Polstr na křeslo Bahama žlutý motiv;30180
420;Polstr na křeslo Havai bílý;30197
421;Polstr na křeslo Havai hnědý list;30198
422;Polstr na křeslo Havai okrový;30192
423;Polstr na křeslo Havai vínový;30196
424;Polstr na křeslo papasan 100 cm bílý;30060
425;Polstr na křeslo papasan 100 cm hnědý list;30061
426;Polstr na křeslo papasan 100 cm okrová kostka;30056
427;Polstr na křeslo papasan 100 cm pískový;30243
428;Polstr na křeslo papasan 100 cm vínový kepr;30055
